ticker,date,entry_date,exit_date,entry_price,exit_price,gross_pct,net_pct,exit_reason,exit_day,mfe_pct,mae_pct,atr_pct_entry,rsi_entry,adx_entry,wk52_pos_entry
INTU,2024-02-15,2024-02-16,2024-02-21,652.459,629.4719,-3.5232,-4.0232,stop,2,0.006,-4.8932,1.9542,64.5,27.54,0.9981
MAR,2024-03-21,2024-03-22,2024-03-28,250.4962,246.9723,-1.4067,-1.9067,time_loss,4,0.2423,-1.8522,1.6108,63.63,29.42,0.9918
WM,2024-04-26,2024-04-29,2024-05-01,203.7666,199.0358,-2.3217,-2.8217,stop,2,0.8873,-2.4246,1.2748,56.77,29.29,0.9327
HLT,2024-07-12,2024-07-15,2024-07-17,220.2839,219.0796,-0.5467,-1.0467,stop,2,3.5024,-0.8993,1.7895,63.16,33.0,0.9779
LLY,2024-08-14,2024-08-15,2024-09-05,924.3972,901.4354,-2.484,-2.984,time_loss,14,3.9028,-3.187,3.8378,62.74,29.68,0.9239
NTAP,2024-08-15,2024-08-16,2024-08-29,126.2549,120.3877,-4.6471,-5.1471,stop,9,2.8394,-8.8091,2.5857,62.6,28.17,0.9451
MCO,2024-08-15,2024-08-16,2024-09-06,460.1602,468.8682,1.8924,1.3924,time,14,5.0513,-0.6215,1.9498,62.72,29.64,0.9846
IBM,2024-11-22,2024-11-25,2024-12-09,214.9085,220.2592,2.4898,1.9898,stop,9,7.1636,-0.3134,1.9958,63.32,27.37,0.8558
AMP,2025-01-17,2025-01-21,2025-01-30,544.0048,542.9507,-0.1938,-0.6938,stop,7,4.9457,-3.9288,1.9043,59.02,29.16,0.8834
META,2025-01-24,2025-01-27,2025-01-27,623.5281,621.4839,-0.3278,-0.8278,stop,0,5.9463,-0.241,2.6795,64.77,26.7,0.9832
MSI,2025-01-24,2025-01-27,2025-01-28,470.187,457.5317,-2.6915,-3.1915,stop,1,1.1687,-2.7529,1.4743,62.55,28.35,0.8591
RTX,2025-02-27,2025-02-28,2025-03-06,128.575,123.9562,-3.5923,-4.0923,stop,4,3.1,-4.0597,2.0094,64.23,27.33,0.9722
CSCO,2025-08-07,2025-08-08,2025-08-14,69.0725,66.7695,-3.3343,-3.8343,stop,4,3.2887,-3.9294,1.5682,61.61,25.7,0.9911
CDNS,2025-09-09,2025-09-10,2025-09-10,348.5,334.3071,-4.0726,-4.5726,stop,0,0.0086,-6.3558,2.189,62.36,28.63,0.9052
HLT,2026-01-08,2026-01-09,2026-01-16,299.7191,300.5683,0.2833,-0.2167,time_loss,5,2.0933,-1.66,1.8209,63.51,25.36,0.9949
NUE,2026-01-14,2026-01-15,2026-01-27,172.4319,171.5961,-0.4847,-0.9847,stop,7,5.9531,-4.2423,2.508,63.31,26.46,0.9831
TGT,2026-04-08,2026-04-09,2026-04-29,121.1157,124.3908,2.7042,2.2042,stop,14,8.8664,-4.4414,2.6024,62.65,25.39,0.9336
CAT,2026-06-04,2026-06-05,2026-06-09,929.93,877.2223,-5.6679,-6.1679,stop,2,0.8872,-5.6929,3.1491,63.84,25.27,0.9895
